uber taxi rides
10 -10.59 384.87
15.86 -10 393.3
15.86 -18.21 406.8
20.47 -21.14 412.59
26.75 -21.14 422.39
26.75 -21.14 407.89
30.94 -19.97 417.86
30.94 -15.28 461.32
26.75 -13.52 440.65
15.45 -54.55 384.53
36.39 -31.1 459.83
41.41 -31.69 464.09
52.3 -29.93 514.87
53.98 -29.93 506.51
57.75 -20.55 538.01
64.03 -37.55 574.02
51.47 -41.66 490.82
52.72 -41.07 531.43
41.83 -48.69 486.71
44.76 -52.21 499.12
52.3 -55.14 483.4
56.07 -52.79 500.36
62.36 -57.48 529.29
74.08 -72.72 581.82
78.69 -68.62 582.38
110.94 -66.86 718.33
104.24 -82.69 723.52
90.84 -90.31 639.53
84.97 -90.31 630.05
77.02 -87.38 590.37
104.66 -98.52 724.84
59.01 -73.9 520.22
15.86 -54.55 382.07
68.64 -99.69 574.17
75.76 -95.59 592.29
75.76 -104.38 569.22
88.74 -97.34 608.31
94.61 -109.66 677.73
101.73 -109.66 718.35
103.4 -113.17 672.99
110.52 -107.9 707.54
105.5 -97.34 692.65
105.5 -79.76 707.64
112.62 -66.28 732.34
120.16 -123.72 775.68
112.2 -110.24 751.11
98.8 -135.45 701.36
117.23 -147.17 763.02
114.29 -154.21 760.12
114.71 -175.9 731.05
105.5 -176.48 730.43
99.63 -180 680.2
156.6 -106.72 873.83
153.25 -120.79 892.47
153.25 -137.79 877.99
170 -161.83 983.49
