Ward_code,Borough_code,Borough_name,Ward_name,candidate,party,party_long,number_votes,elected_flag,Number of councillors in ward
E05000026,E09000002,Barking and Dagenham,Abbey,"Butt, Laila Ms.*",LAB,Labour Party,2252,Yes,3
E05000026,E09000002,Barking and Dagenham,Abbey,"Doyle, Danielle Ms.",LAB,Labour Party,2072,Yes,3
E05000026,E09000002,Barking and Dagenham,Abbey,"Miah, Giasuddin M.",LAB,Labour Party,1966,Yes,3
E05000026,E09000002,Barking and Dagenham,Abbey,"Saeed, Tariq*",UKIP,UK Independence Party (UKIP),647,,3
E05000026,E09000002,Barking and Dagenham,Abbey,"Ali, Modoris",CON,Conservative Party,410,,3
E05000026,E09000002,Barking and Dagenham,Abbey,"Chowdhury, Emran H.",CON,Conservative Party,323,,3
E05000026,E09000002,Barking and Dagenham,Abbey,"Kitkovska, Natalija Ms.",GRE,Green Party,307,,3
E05000026,E09000002,Barking and Dagenham,Abbey,"Ampomah, Amaniampong A.",CON,Conservative Party,292,,3
E05000026,E09000002,Barking and Dagenham,Abbey,"Edwards, Ryan",LD,Liberal Democrats,221,,3
E05000026,E09000002,Barking and Dagenham,Abbey,"Marius-Alexandru, Ostafe",EP,Europeans Party,94,,3
E05000027,E09000002,Barking and Dagenham,Alibon,"Rodwell, Darren J.*",LAB,Labour Party,1398,Yes,3
E05000027,E09000002,Barking and Dagenham,Alibon,"Hughes, Christopher W.",LAB,Labour Party,1389,Yes,3
E05000027,E09000002,Barking and Dagenham,Alibon,"Alasia, Sanchia Ms.*",LAB,Labour Party,1240,Yes,3
E05000027,E09000002,Barking and Dagenham,Alibon,"Wood, Norman J. W.",UKIP,UK Independence Party (UKIP),974,,3
E05000027,E09000002,Barking and Dagenham,Alibon,"Hussain, Jakir",CON,Conservative Party,221,,3
E05000027,E09000002,Barking and Dagenham,Alibon,"Ullah, Md. N.",CON,Conservative Party,180,,3
E05000027,E09000002,Barking and Dagenham,Alibon,"Zaman, Mohammed S.",CON,Conservative Party,145,,3
E05000027,E09000002,Barking and Dagenham,Alibon,"London, Terence",LD,Liberal Democrats,143,,3
E05000028,E09000002,Barking and Dagenham,Becontree,"Carpenter, Evelyn Ms.*",LAB,Labour Party,2098,Yes,3
E05000028,E09000002,Barking and Dagenham,Becontree,"Choudhury, Faruk",LAB,Labour Party,1885,Yes,3
E05000028,E09000002,Barking and Dagenham,Becontree,"Ogungbose, James O.*",LAB,Labour Party,1784,Yes,3
E05000028,E09000002,Barking and Dagenham,Becontree,"Douglas, Robert J.*",UKIP,UK Independence Party (UKIP),858,,3
E05000028,E09000002,Barking and Dagenham,Becontree,"Douglas, Yvonne M. Ms.",UKIP,UK Independence Party (UKIP),826,,3
E05000028,E09000002,Barking and Dagenham,Becontree,"Larner, Lorraine C. Ms.",CON,Conservative Party,294,,3
E05000028,E09000002,Barking and Dagenham,Becontree,"Hosain, Mohammed B.",CON,Conservative Party,211,,3
E05000028,E09000002,Barking and Dagenham,Becontree,"Smith, Ricci M.",CON,Conservative Party,208,,3
E05000028,E09000002,Barking and Dagenham,Becontree,"De Cruz, David L.",LD,Liberal Democrats,151,,3
E05000029,E09000002,Barking and Dagenham,Chadwell Heath,"Wade, Jeffrey*",LAB,Labour Party,1416,Yes,3
E05000029,E09000002,Barking and Dagenham,Chadwell Heath,"Bright, Afolasade O. Ms.",LAB,Labour Party,1389,Yes,3
E05000029,E09000002,Barking and Dagenham,Chadwell Heath,"Tarry, Samuel P.*",LAB,Labour Party,1356,Yes,3
